,id,date,confirmed,location_id
782,846,2020-03-09,0,19
783,847,2020-03-11,0,19
784,848,2020-03-12,0,19
785,849,2020-03-13,0,19
786,850,2020-03-14,0,19
787,851,2020-03-15,0,19
788,852,2020-03-16,0,19
789,853,2020-03-17,0,19
790,854,2020-03-18,0,19
791,855,2020-03-19,0,19
792,856,2020-03-20,0,19
793,857,2020-03-21,0,19
794,858,2020-03-22,0,19
795,859,2020-03-23,4,19
796,860,2020-03-24,5,19
797,861,2020-03-25,5,19
798,862,2020-03-26,5,19
799,863,2020-03-27,0,19
800,864,2020-03-28,6,19
801,865,2020-03-29,6,19
802,866,2020-03-30,8,19
803,867,2020-03-31,8,19
804,868,2020-04-01,9,19
805,869,2020-04-02,9,19
806,870,2020-04-03,9,19
807,871,2020-04-04,11,19
808,872,2020-04-05,11,19
809,873,2020-04-06,11,19
810,874,2020-04-07,0,19
811,875,2020-04-08,15,19
812,876,2020-04-09,15,19
813,877,2020-04-10,18,19
814,878,2020-04-11,19,19
815,879,2020-04-12,19,19
816,880,2020-04-13,22,19
817,881,2020-04-14,22,19
818,882,2020-04-15,23,19
819,883,2020-04-16,24,19
820,884,2020-04-17,24,19
821,885,2020-04-18,24,19
822,886,2020-04-19,24,19
823,887,2020-04-20,25,19
824,888,2020-04-21,24,19
825,889,2020-04-22,24,19
826,890,2020-04-23,25,19
827,891,2020-04-24,25,19
828,892,2020-04-25,28,19
829,893,2020-04-26,28,19
830,894,2020-04-27,31,19
831,895,2020-04-28,29,19
832,896,2020-04-29,29,19
833,897,2020-04-30,31,19
834,898,2020-05-01,35,19
835,899,2020-05-02,35,19
836,900,2020-05-03,36,19
837,901,2020-05-04,35,19
838,902,2020-03-05,0,20
839,903,2020-03-07,0,20
840,904,2020-03-08,0,20
841,905,2020-03-09,0,20
842,906,2020-03-11,1,20
843,907,2020-03-12,1,20
844,908,2020-03-13,3,20
845,909,2020-03-14,9,20
846,910,2020-03-15,14,20
847,911,2020-03-16,16,20
848,912,2020-03-17,21,20
849,913,2020-03-18,31,20
850,914,2020-03-19,46,20
851,915,2020-03-20,57,20
852,916,2020-03-21,75,20
853,917,2020-03-22,89,20
854,918,2020-03-23,100,20
855,919,2020-03-24,113,20
856,920,2020-03-25,183,20
857,921,2020-03-26,229,20
858,922,2020-03-27,0,20
859,923,2020-03-28,271,20
860,924,2020-03-29,310,20
861,925,2020-03-30,324,20
862,926,2020-03-31,325,20
863,927,2020-04-01,326,20
864,928,2020-04-02,353,20
865,929,2020-04-03,374,20
866,930,2020-04-04,433,20
867,931,2020-04-05,454,20
868,932,2020-04-06,462,20
869,933,2020-04-07,0,20
870,934,2020-04-08,495,20
871,935,2020-04-09,515,20
872,936,2020-04-10,541,20
873,937,2020-04-11,546,20
874,938,2020-04-12,587,20
875,939,2020-04-13,617,20
876,940,2020-04-14,643,20
877,941,2020-04-15,657,20
878,942,2020-04-16,675,20
879,943,2020-04-17,717,20
880,944,2020-04-18,836,20
881,945,2020-04-19,868,20
882,946,2020-04-20,940,20
883,947,2020-04-21,1010,20
884,948,2020-04-22,1079,20
885,949,2020-04-23,1279,20
886,950,2020-04-24,1413,20
887,951,2020-04-25,1514,20
888,952,2020-04-26,1608,20
889,953,2020-04-27,1737,20
890,954,2020-04-28,1870,20
891,955,2020-04-29,2135,20
892,956,2020-04-30,2342,20
893,957,2020-05-01,2507,20
